,accuracy,loss
0,tensor(0.5067),1.0322913467884063
1,tensor(0.5000),1.0246252036094665
2,tensor(0.4967),1.0094389700889588
3,tensor(0.5333),0.9888254702091217
4,tensor(0.5433),0.9623618757724762
5,tensor(0.6867),0.9245828604698181
6,tensor(0.6733),0.8009496411681175
7,tensor(0.7200),0.656094865500927
8,tensor(0.6633),0.7114482456445694
9,tensor(0.7167),0.6877914699912071
10,tensor(0.7733),0.6086348208785057
11,tensor(0.7833),0.5579530493915081
12,tensor(0.7900),0.5917472682893277
13,tensor(0.8400),0.5058753807842732
14,tensor(0.8767),0.4975825034081936
15,tensor(0.9233),0.403055254817009
16,tensor(0.9233),0.34059744238853457
17,tensor(0.9533),0.29423737570643427
18,tensor(0.9633),0.2586150576174259
19,tensor(0.9633),0.22380792208015918
20,tensor(0.9967),0.19463879011571408
