,accuracy,loss
0,tensor(0.5367),0.9997948217391968
1,tensor(0.5267),0.9998547583818436
2,tensor(0.4967),0.9870472818613052
3,tensor(0.5333),0.9756335777044296
4,tensor(0.6633),0.8625826460123062
5,tensor(0.6567),0.7022271186113358
6,tensor(0.6767),0.681470537185669
7,tensor(0.7100),0.6296504461765289
8,tensor(0.6867),0.6573761534690857
9,tensor(0.6867),0.6128061282634735
10,tensor(0.7433),0.5609770312905311
11,tensor(0.7933),0.5196378362178803
12,tensor(0.8567),0.3987259425222874
13,tensor(0.8633),0.35134980991482734
14,tensor(0.8600),0.3333024945855141
15,tensor(0.9100),0.32632346600294115
16,tensor(0.9467),0.30183431416749956
17,tensor(0.9567),0.27791803047060964
18,tensor(0.9233),0.26088679060339925
19,tensor(0.9300),0.2316533300280571
20,tensor(0.9167),0.2127221418172121
21,tensor(0.9400),0.21705935388803482
22,tensor(0.9767),0.18383417870849372
